idBulan,metode,nama,instansi,lokasi,jenis,waktu,idMetode,id,pagu,idJenisPengadaan,satuanKerja,preprocessing,kategori_kmeans,kategori_lda
1,Seleksi,Penyusunan Manual OP Prasarana Air Baku Perdesaan dan Sumur Dalam,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jambi-Tanjung Jabung Barat (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22743226,600000000,0,OPERASI DAN PEMELIHARAAN SUMBER DAYA AIR SUMATERA VI,penyusunan manual op prasarana air baku perdesaan sumur,10,0
1,Tender,"Penyusunan Masterplan, Development Plan, Pra Study Kelayakan, dan Pra Desain Kawasan Perdesaan Prioritas Nasional (KPPN) Bone",Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-01-01,13,22745382,1400000000,0,PUSAT PENGEMBANGAN KAWASAN PERKOTAAN,penyusunan masterplan development plan pra study kelayakan pra desain kawasan perdesaan prioritas nasional kppn bone,6,1
1,Tender,Terrestrial Laser Scanning (TLS)[ 1 UNIT],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bali-Denpasar (Kota), ","Barang, ",2020-01-01,13,22744273,2441500000,0,SNVT PELAKSANAAN  JARINGAN SUMBER AIR BALI-PENIDA,terrestrial laser scanning tls 1 unit,9,10
1,Tender,PEMELIHARAAN RUTIN JALAN SP.3 LEMPAKE â€“ SP.3 SAMBERA,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Kalimantan Timur-Samarinda (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22745592,2231446000,0,PELAKSANAAN JALAN NASIONAL WILAYAH II PROVINSI KALTIM,pemeliharaan rutin jalan sp.3 lempake â€ “ sp.3 sambera,4,10
1,Tender,Pembangunan Relokasi Menara SUTT Bendungan Karian (Lanjutan) Kab. Lebak,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Tangerang (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22743398,13979400000,0,SNVT PEMBANGUNAN BENDUNGAN BBWS CIDANAU CIUJUNG CIDURIAN,pembangunan relokasi menara sutt bendungan karian lanjutan kab lebak,6,0
1,e-Purchasing,Pengadaan Kendaraan Operasional Pejabat Eselon II (JAWA TIMUR)[ 1 UNIT],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Timur-Surabaya (Kota), ","Barang, ",2020-01-01,9,22743404,472468000,0,PUSAT PENGENDALIAN LUMPUR SIDOARJO,pengadaan kendaraan operasional pejabat eselon ii jawa timur 1 unit,7,4
1,Seleksi,Supervisi Konstruksi (Pengawasan) Penanganan Kawasan KEK Tanjung Lesung Kab. Pandeglang,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Serang (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22743955,7829770000,0,SNVT PELAKSANAAN JARINGAN SUMBER AIR CIDANAU-CIUJUNG-CIDURIAN,supervisi konstruksi pengawasan penanganan kawasan kek tanjung lesung kab pandeglang,17,10
1,Seleksi,DED Penyediaan Air Baku Kabupaten Kotawaringin Barat,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Kalimantan Tengah-Kotawaringin Barat (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22744797,961000000,0,BALAI WILAYAH SUNGAI KALIMANTAN II,ded penyediaan air baku kabupaten kotawaringin barat,16,1
1,e-Purchasing,Pengadaan Peralatan dan Fasilitasi Pelayanan Perkantoran,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jambi-Jambi (Kota), ","Barang, ",2020-01-01,9,22741918,200000000,0,BALAI PRASARANA PERMUKIMAN WILAYAH JAMBI,pengadaan peralatan fasilitasi pelayanan perkantoran,8,8
1,Tender,Video Camera Equipment and Software for Real Time Coastal Monitoring[ 1 UNIT],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bali-Denpasar (Kota), ","Barang, ",2020-01-01,13,22744272,2244057000,0,SNVT PELAKSANAAN  JARINGAN SUMBER AIR BALI-PENIDA,video camera equipment and software for real time coastal monitoring 1 unit,2,10
1,Tender,"Rencana Penanganan dan Rekonstruksi Kota Berketahanan (Banten, Lombok, dan Palu)",Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-01-01,13,22745383,1500000000,0,PUSAT PENGEMBANGAN KAWASAN PERKOTAAN,rencana penanganan rekonstruksi kota berketahanan banten lombok palu,16,10
1,Tender,Pengamanan Pantai Pasauran,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Serang (Kab.), ","Pekerjaan Konstruksi, ",2020-01-01,13,22743956,18619490000,0,SNVT PELAKSANAAN JARINGAN SUMBER AIR CIDANAU-CIUJUNG-CIDURIAN,pengamanan pantai pasauran,17,10
1,Tender,Penangganan Pantai KEK Tanjung Lesung,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Pandeglang (Kab.), ","Pekerjaan Konstruksi, ",2020-01-01,13,22743957,30834880000,0,SNVT PELAKSANAAN JARINGAN SUMBER AIR CIDANAU-CIUJUNG-CIDURIAN,penangganan pantai kek tanjung lesung,17,10
1,Seleksi,Supervisi Pembangunan TPA Cikundul Kota Sukabumi,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Sukabumi (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22742376,800000000,0,PELAKSANAAN PRASARANA PERMUKIMAN WILAYAH I PROVINSI JAWA BARAT,supervisi pembangunan tpa cikundul kota sukabumi,10,0
