,idBulan,metode,nama,instansi,lokasi,jenis,waktu,idMetode,id,pagu,idJenisPengadaan,satuanKerja
1277,1,Seleksi,Consulting Services of Bali Beach Conservation Project (Phase 2),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bali-Denpasar (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22744275,42902430000,0,SNVT PELAKSANAAN  JARINGAN SUMBER AIR BALI-PENIDA
1278,1,Tender,Active Wave Absorber (attached on exsiting irregular wave),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bali-Denpasar (Kota), ","Barang, ",2020-01-01,13,22744274,7476864000,0,SNVT PELAKSANAAN  JARINGAN SUMBER AIR BALI-PENIDA
1279,1,Seleksi,Penyusunan Manual O dan P DR. Senyerang Kab. Tanjung Jabung Barat,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jambi-Tanjung Jabung Barat (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22743220,750000000,0,OPERASI DAN PEMELIHARAAN SUMBER DAYA AIR SUMATERA VI
1280,1,e-Purchasing,BELANJA MODAL KEPERLUAN PSBU,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Barang, ",2020-01-01,9,22740789,50000000,0,498488
1281,1,Seleksi,Penyusunan Manual OP Prasarana Air Baku Perdesaan dan Sumur Dalam,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jambi-Tanjung Jabung Barat (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22743226,600000000,0,OPERASI DAN PEMELIHARAAN SUMBER DAYA AIR SUMATERA VI
1282,1,Tender,"Penyusunan Masterplan, Development Plan, Pra Study Kelayakan, dan Pra Desain Kawasan Perdesaan Prioritas Nasional (KPPN) Bone",Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-01-01,13,22745382,1400000000,0,PUSAT PENGEMBANGAN KAWASAN PERKOTAAN
1283,1,Tender,Terrestrial Laser Scanning (TLS)[ 1 UNIT],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bali-Denpasar (Kota), ","Barang, ",2020-01-01,13,22744273,2441500000,0,SNVT PELAKSANAAN  JARINGAN SUMBER AIR BALI-PENIDA
1284,1,Tender,PEMELIHARAAN RUTIN JALAN SP.3 LEMPAKE â€“ SP.3 SAMBERA,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Kalimantan Timur-Samarinda (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22745592,2231446000,0,PELAKSANAAN JALAN NASIONAL WILAYAH II PROVINSI KALTIM
1285,1,Tender,Pembangunan Relokasi Menara SUTT Bendungan Karian (Lanjutan) Kab. Lebak,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Tangerang (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22743398,13979400000,0,SNVT PEMBANGUNAN BENDUNGAN BBWS CIDANAU CIUJUNG CIDURIAN
1286,1,e-Purchasing,Pengadaan Kendaraan Operasional Pejabat Eselon II (JAWA TIMUR)[ 1 UNIT],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Timur-Surabaya (Kota), ","Barang, ",2020-01-01,9,22743404,472468000,0,PUSAT PENGENDALIAN LUMPUR SIDOARJO
1287,1,Seleksi,Supervisi Konstruksi (Pengawasan) Penanganan Kawasan KEK Tanjung Lesung Kab. Pandeglang,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Serang (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22743955,7829770000,0,SNVT PELAKSANAAN JARINGAN SUMBER AIR CIDANAU-CIUJUNG-CIDURIAN
1288,1,Seleksi,DED Penyediaan Air Baku Kabupaten Kotawaringin Barat,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Kalimantan Tengah-Kotawaringin Barat (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22744797,961000000,0,BALAI WILAYAH SUNGAI KALIMANTAN II
1289,1,e-Purchasing,Pengadaan Peralatan dan Fasilitasi Pelayanan Perkantoran,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jambi-Jambi (Kota), ","Barang, ",2020-01-01,9,22741918,200000000,0,BALAI PRASARANA PERMUKIMAN WILAYAH JAMBI
1290,1,Tender,Video Camera Equipment and Software for Real Time Coastal Monitoring[ 1 UNIT],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bali-Denpasar (Kota), ","Barang, ",2020-01-01,13,22744272,2244057000,0,SNVT PELAKSANAAN  JARINGAN SUMBER AIR BALI-PENIDA
1291,1,Tender,"Rencana Penanganan dan Rekonstruksi Kota Berketahanan (Banten, Lombok, dan Palu)",Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-01-01,13,22745383,1500000000,0,PUSAT PENGEMBANGAN KAWASAN PERKOTAAN
1292,1,Tender,Pengamanan Pantai Pasauran,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Serang (Kab.), ","Pekerjaan Konstruksi, ",2020-01-01,13,22743956,18619490000,0,SNVT PELAKSANAAN JARINGAN SUMBER AIR CIDANAU-CIUJUNG-CIDURIAN
1293,1,Tender,Penangganan Pantai KEK Tanjung Lesung,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Pandeglang (Kab.), ","Pekerjaan Konstruksi, ",2020-01-01,13,22743957,30834880000,0,SNVT PELAKSANAAN JARINGAN SUMBER AIR CIDANAU-CIUJUNG-CIDURIAN
1294,1,Seleksi,Supervisi Pembangunan TPA Cikundul Kota Sukabumi,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Sukabumi (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22742376,800000000,0,PELAKSANAAN PRASARANA PERMUKIMAN WILAYAH I PROVINSI JAWA BARAT
1295,1,Tender,Rehabilitasi Jaringan Irigasi Sekunder Kiri dan Pembuang D.I.Cibaliung (Paket II) Kab. Pandeglang,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Serang (Kab.), ","Pekerjaan Konstruksi, ",2020-01-01,13,22743745,33312682000,0,SNVT PELAKSANAAN JARINGAN PEMANFAATAN AIR CIDANAU-CIUJUNG-CIDURIAN
1296,1,Tender,Total Station (TS)[ 2 UNIT],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bali-Denpasar (Kota), ","Barang, ",2020-01-01,13,22744263,217800000,0,SNVT PELAKSANAAN  JARINGAN SUMBER AIR BALI-PENIDA
1297,1,Tender,Velocity Meters[ 5 UNIT],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bali-Denpasar (Kota), ","Barang, ",2020-01-01,13,22744268,938420000,0,SNVT PELAKSANAAN  JARINGAN SUMBER AIR BALI-PENIDA
1298,1,Penunjukan Langsung,Strategi Keberlanjutan Pasca PAMSIMAS,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Lainnya, ",2020-01-01,7,22741791,92713000,0,INFRASTRUKTUR BERBASIS MASYARAKAT
1299,1,Penunjukan Langsung,Tenaga Ahli (Kementerian Bappenas),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Lainnya, ",2020-01-01,7,22741790,30001000,0,INFRASTRUKTUR BERBASIS MASYARAKAT
1300,1,e-Purchasing,Pengadaan Kendaraan Dinas Jabatan Roda 4,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kota), ","Barang, ",2020-01-01,9,22745392,491745000,0,PUSAT PENDIDIKAN DAN PELATIHAN SUMBER DAYA AIR DAN KONSTRUKSI
1301,1,Tender,Pengadaan Meubelair UNIV. NEGERI MEDAN,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Sumatera Utara-Medan (Kota), ","Barang, ",2020-01-01,13,22745043,1362000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI SUMATERA UTARA
1302,1,Tender,Pembangunan Jalan Akses Bandara Gewayantana (Larantuka),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Nusa Tenggara Timur-Kupang (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22741523,24987750000,0,PELAKSANAAN JALAN NASIONAL WILAYAH IV PROVINSI NTT
1303,1,Seleksi,Supervisi Konstruksi (Pengawasan) Pengamanan Pantai Anyer- Carita Kab. Serang dan Pandeglang (Pasca Tsunami),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Serang (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22743954,2663040000,0,SNVT PELAKSANAAN JARINGAN SUMBER AIR CIDANAU-CIUJUNG-CIDURIAN
1304,1,e-Purchasing,Pengadaan Mebel Rumah Susun Univ. Kristen Satya Wacana,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Tengah-Semarang (Kota), ","Barang, ",2020-01-01,9,22745144,1324000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA TENGAH
1305,1,Penunjukan Langsung,Penguatan Pokja Provinsi Dalam Rangka Pencapaian Akses Universal Air Minum,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Lainnya, ",2020-01-01,7,22741792,370854000,0,INFRASTRUKTUR BERBASIS MASYARAKAT
1306,1,Tender,Pembangunan Pemanfaatan Air Baku Waduk Gondang Untuk Kab. Sragen di Kab. Sragen;Kab. Sragenr;Kab. Sragen;Jateng[ 1 KEG],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Tengah-Surakarta (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22744132,52480470000,0,SNVT PELAKSANAAN JARINGAN PEMANFAATAN AIR  BENGAWAN SOLO
1307,1,Tender,MANAJEMEN KONTRUKSI RUMAH SUSUN JATIM - 2 (MKJATIM 20-02),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Timur-Surabaya (Kota), ","Jasa Konsultansi, ",2020-01-01,13,22745165,1255000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA TIMUR
